Date,Open,High,Low,Close,Volume
2018-03-29,2699.97,2708.47,2627.69,2657.44,1922659
2018-03-30,2712.73,2733.98,2687.22,2704.22,1906196
2018-04-02,2682.97,2746.74,2678.71,2716.97,1439937
2018-04-03,2678.71,2712.73,2661.7,2695.72,1668540
2018-04-04,2699.97,2729.73,2682.97,2721.23,1498969
2018-04-05,2742.49,2806.25,2721.23,2789.26,2471235
2018-04-06,2797.77,2806.25,2733.98,2759.5,2614700
2018-04-09,2759.5,2759.5,2708.47,2729.73,1368085
2018-04-10,2721.23,2797.77,2682.97,2780.75,2309191
2018-04-11,2840.29,2857.29,2810.52,2823.27,2619874
2018-04-12,2806.25,2806.25,2768.0,2793.51,1859042
2018-04-13,2814.77,2887.06,2810.52,2870.06,2566721
2018-04-16,2882.8,2899.81,2836.04,2848.78,1484388
2018-04-17,2844.54,2844.54,2785.01,2831.79,1895142
2018-04-18,2861.56,2916.82,2836.04,2887.06,2291551
2018-04-19,2895.56,2921.07,2887.06,2895.56,1642316
2018-04-20,2899.81,2950.82,2899.81,2921.07,2245925
2018-04-23,2938.08,2959.33,2925.32,2938.08,1417947
2018-04-24,2997.59,3027.36,2967.84,3001.85,2306956
2018-04-25,2967.84,3014.63,2946.58,3006.1,2276852
2018-04-26,3006.1,3014.63,2963.61,3001.85,2333650
2018-04-27,3018.87,3027.36,2959.33,2976.35,2104107
2018-05-01,2946.58,2997.59,2933.83,2984.87,1628792
2018-05-02,2980.6,2984.87,2882.8,2921.07,2201591
2018-05-07,2916.82,2929.58,2857.29,2882.8,1730275
2018-05-08,2874.31,2921.07,2857.29,2870.06,1484034
2018-05-09,2844.54,2870.06,2819.02,2836.04,1482388
2018-05-10,2823.27,2908.31,2823.27,2899.81,1901963
2018-05-11,2938.08,2955.07,2836.04,2895.56,3354600
2018-05-14,2836.04,2865.8,2806.25,2836.04,2004976
2018-05-15,2848.78,2878.55,2844.54,2857.29,1759557
2018-05-16,2840.29,2865.8,2806.25,2806.25,2040605
2018-05-17,2844.54,2848.78,2806.25,2806.25,1450872
2018-05-18,2823.27,2823.27,2802.01,2814.77,1447579
2018-05-21,2831.79,2857.29,2814.77,2848.78,1280597
2018-05-22,2857.29,2882.8,2848.78,2857.29,1319404
2018-05-23,2848.78,2870.06,2802.01,2802.01,1751325
2018-05-24,2806.25,2806.25,2695.72,2712.73,2401383
2018-05-25,2704.22,2759.5,2687.22,2725.49,1896202
2018-05-28,2750.99,2785.01,2742.49,2755.25,1500968
2018-05-29,2738.24,2763.75,2716.97,2733.98,1513081
2018-05-30,2678.71,2712.73,2661.7,2687.22,2295904
2018-05-31,2725.49,2729.73,2665.95,2678.71,3261701
2018-06-01,2670.21,2682.97,2627.69,2657.44,2562606
2018-06-04,2661.7,2691.46,2653.2,2670.21,1870331
2018-06-05,2708.47,2716.97,2644.7,2678.71,1749326
2018-06-06,2687.22,2704.22,2674.46,2678.71,1505319
2018-06-07,2678.71,2682.97,2593.67,2614.93,3980552
2018-06-08,2614.93,2678.71,2606.43,2614.93,2893163
2018-06-11,2614.93,2636.19,2593.67,2610.69,1449816
2018-06-12,2636.19,2644.7,2580.92,2636.19,2647273
2018-06-13,2606.43,2636.19,2606.43,2619.18,1388783
2018-06-14,2619.18,2623.44,2559.66,2568.17,2596944
2018-06-15,2593.67,2597.93,2551.17,2568.17,2112574
2018-06-18,2551.17,2559.66,2508.64,2544.35,2218289
2018-06-19,2483.98,2509.49,2452.5,2455.06,3800635
2018-06-20,2457.62,2472.93,2408.29,2466.97,2513333
2018-06-21,2454.21,2476.31,2449.96,2465.26,1586459
2018-06-22,2422.74,2435.5,2400.64,2429.54,2415261
2018-06-25,2415.09,2422.74,2371.72,2376.82,2831426
2018-06-26,2340.27,2400.64,2325.79,2395.53,3514410
2018-06-27,2391.21,2408.49,2352.32,2367.88,2464854
2018-06-28,2351.45,2352.32,2316.89,2348.88,3506522
2018-06-29,2371.34,2413.68,2359.24,2407.63,3885259
2018-07-02,2404.17,2456.03,2401.59,2415.4,3100247
2018-07-03,2405.89,2410.23,2363.56,2382.57,2436155
2018-07-04,2364.42,2394.66,2342.82,2357.51,1948763
2018-07-05,2357.51,2369.61,2341.09,2358.38,1594558
2018-07-06,2359.24,2411.95,2359.24,2403.31,1927124
2018-07-09,2408.49,2438.74,2390.35,2422.32,1114107
2018-07-10,2452.57,2454.3,2432.71,2435.29,1693263
2018-07-11,2392.08,2400.72,2359.24,2392.93,1495273
2018-07-12,2426.64,2446.51,2398.99,2442.2,1850518
2018-07-13,2468.99,2513.92,2449.12,2495.78,2818480
2018-07-17,2519.98,2543.32,2496.64,2532.93,1825988
2018-07-18,2582.2,2614.17,2562.32,2605.53,2295100
2018-07-19,2605.53,2644.41,2591.7,2635.77,2200560
2018-07-20,2622.81,2653.06,2572.69,2589.97,2380150
